lon,lat,elev,exp,slope,veg
700.5379787,984.4786458,548,-1,0,1
704.0482712,984.4786458,518,135,0,1
707.5585637,984.4786458,548,-1,0,1
711.0688562,984.4786458,569,254,4,1
714.5791487,984.4786458,590,178,5,1
697.0276862,981.9341808,518,-1,0,1
700.5379787,981.9341808,548,31,2,1
704.0482712,981.9341808,548,-1,0,1
707.5585637,981.9341808,579,-1,0,1
711.0688562,981.9341808,579,162,0,1
714.5791487,981.9341808,611,347,2,1
718.0894412,981.9341808,593,14,9,1
721.5997337,981.9341808,669,318,1,1
682.9865162,979.3897158,487,108,0,1
686.4968087,979.3897158,487,180,0,1
690.0071012,979.3897158,519,321,1,1
693.5173937,979.3897158,548,180,0,1
697.0276862,979.3897158,500,273,2,1
700.5379787,979.3897158,548,45,0,1
704.0482712,979.3897158,549,45,0,1
707.5585637,979.3897158,547,290,3,1
711.0688562,979.3897158,543,200,4,1
714.5791487,979.3897158,548,342,0,1
718.0894412,979.3897158,610,270,0,1
721.5997337,979.3897158,644,341,4,1
725.1100262,979.3897158,639,320,2,1
728.6203187,979.3897158,669,138,4,1
679.4762237,976.8452508,487,135,0,1
682.9865162,976.8452508,487,-1,0,1
686.4968087,976.8452508,487,18,0,1
690.0071012,976.8452508,506,117,6,1
693.5173937,976.8452508,489,95,3,1
697.0276862,976.8452508,548,108,0,1
700.5379787,976.8452508,549,90,0,1
704.0482712,976.8452508,545,213,4,1
707.5585637,976.8452508,548,101,0,1
711.0688562,976.8452508,425,8,0,1
714.5791487,976.8452508,492,357,7,1
718.0894412,976.8452508,548,225,0,1
721.5997337,976.8452508,609,18,0,1
725.1100262,976.8452508,638,297,2,1
728.6203187,976.8452508,696,207,4,1
732.1306112,976.8452508,731,45,0,1
665.4350537,974.3007858,515,225,0,1
668.9453462,974.3007858,548,299,2,1
675.9659312,974.3007858,487,252,0,1
679.4762237,974.3007858,426,225,0,1
682.9865162,974.3007858,487,284,0,1
686.4968087,974.3007858,512,87,6,1
690.0071012,974.3007858,540,309,4,1
693.5173937,974.3007858,521,133,4,1
697.0276862,974.3007858,370,164,7,1
700.5379787,974.3007858,259,168,10,1
704.0482712,974.3007858,442,336,24,1
707.5585637,974.3007858,431,339,3,1
711.0688562,974.3007858,485,17,2,1
714.5791487,974.3007858,553,292,1,1
718.0894412,974.3007858,607,0,1,1
721.5997337,974.3007858,561,141,13,1
725.1100262,974.3007858,629,250,7,1
728.6203187,974.3007858,720,291,5,1
732.1306112,974.3007858,732,90,0,1
661.9247612,971.7563208,491,86,2,1
