lon,lat,yr,mo,day,size,elev,slope,aspect,dia,veg9
764.4915,816.1102,86,4,14,0.1,1463,2,302,13,1
569.3484,747.6836,86,5,20,0.2,1310,3,26,49,5
542.1684,700.3738,86,5,26,0.1,1707,2,168,55,6
640.6639,753.4609,86,5,28,5,1400,8,228,57,5
510.349,646.5631,86,5,29,11,1405,2,43,58,8
538.0058,741.0602,86,5,30,0.1,1404,2,252,59,1
693.5082,848.7706,86,5,31,0.1,904,6,24,60,1
512.8051,783.6724,86,6,1,0.3,1166,6,198,61,7
512.9819,783.6724,86,6,1,0.3,1210,6,198,61,7
555.5755,778.1065,86,6,2,0.1,1133,4,2,62,7
562.1365,731.9099,86,6,2,1.5,1721,3,125,62,6
567.6695,731.5426,86,6,2,0.7,1434,4,26,62,5
628.0691,686.4592,86,6,2,0.1,1598,4,192,62,5
571.832,684.6002,86,6,2,0.1,1538,2,225,62,5
525.746,680.8933,86,6,2,0.1,1724,3,214,62,5
582.9633,678.1104,86,6,2,0.5,1686,2,161,62,5
732.1035,770.3143,86,6,3,0.1,1327,1,229,63,5
690.0411,816.3217,86,6,4,0,1843,8,273,64,7
581.5649,808.908,86,6,4,2,1522,1,111,64,6
613.8487,722.6372,86,6,6,0.2,1734,6,67,66,6
559.6887,704.4257,86,6,6,0.1,1303,12,215,66,5
482.8015,698.3256,86,6,6,0.1,1405,3,159,66,7
508.8382,651.205,86,6,6,0.1,1505,0,141,66,7
526.4283,774.8227,86,6,7,0.8,1081,4,242,67,1
732.0266,887.2863,86,6,10,3,1047,6,51,70,1
506.5564,760.3403,86,6,10,0.1,664,7,280,70,7
734.8064,774.5778,86,6,11,0,1219,7,67,71,2
567.1286,766.229,86,6,11,0.1,1495,2,14,71,5
572.9431,654.9119,86,6,11,0.8,1646,3,40,71,7
470.0132,706.1178,86,6,12,0.1,1765,2,329,72,7
451.4676,720.4109,86,6,13,0.1,1623,9,15,73,5
681.811,863.42,86,6,14,0.1,1220,2,44,74,6
659.1189,842.2586,86,6,14,0.1,1036,3,195,74,6
572.7949,769.5685,86,6,14,0.1,1299,2,289,74,5
480.4022,699.4387,86,6,14,0.1,1463,1,141,74,7
634.7901,820.0397,86,6,17,0,1050,0,64,77,7
590.8069,805.19,86,6,18,0.5,1403,0,349,78,7
812.5938,793.6909,86,6,18,20,1815,3,240,78,6
818.9197,777.9173,86,6,18,0.1,1630,5,272,78,6
604.4839,736.5519,86,6,20,0.2,1279,2,260,80,5
576.6229,756.9563,86,6,21,22,1637,7,223,81,8
693.805,885.8949,86,6,22,26.3,890,14,301,82,6
714.6062,810.1992,86,6,24,50,1513,20,288,84,1
598.0728,797.7763,86,6,24,0.2,1389,2,290,84,5
765.4399,795.1714,86,6,24,14,2012,6,104,84,4
574.6078,772.5407,86,6,24,5,1516,2,227,84,6
608.3085,723.5611,86,6,24,0.1,1853,8,52,84,6
628.0593,687.3831,86,6,24,2.2,1701,5,186,84,6
594.9508,678.1104,86,6,24,0.1,1707,8,77,84,6
589.7836,677.9211,86,6,24,0.6,1821,1,212,84,6
608.7964,677.1753,86,6,24,0.1,1828,3,208,84,6
533.1782,675.3274,86,6,24,0.6,1713,2,36,84,5
496.0245,661.0343,86,6,24,0.1,1844,2,139,84,5
524.1508,647.5316,86,6,24,0.1,1393,0,74,84,7
519.7202,630.0548,86,6,24,0.2,1585,1,64,84,2
726.8842,787.9358,86,6,25,0.1,1811,8,177,85,4
678.8839,740.6372,86,6,25,106,1219,5,333,85,9
497.4542,667.6577,86,6,25,0.1,1783,8,65,85,7
555.1176,664.474,86,6,25,0.1,1463,1,77,85,7
477.3716,734.6372,86,6,26,0.8,1043,8,120,86,9
552.6978,686.782,86,6,26,0.1,1426,0,45,86,1
617.5216,723.5611,86,6,27,0.1,1699,0,98,87,6
651.1521,834.8782,86,6,28,0.1,1578,14,62,88,2
520.9474,797.7763,86,6,28,0,1585,0,225,88,7
568.7609,784.7856,86,6,28,0.2,1360,7,191,88,5
568.9965,784.4627,86,6,28,0.1,1341,10,182,88,5
570.8754,777.3607,86,6,28,0.1,1436,5,38,88,5
649.352,775.1344,86,6,28,0,1601,7,92,88,5
544.4784,766.7856,86,6,28,0.1,975,5,252,88,7
656.1497,767.8876,86,6,28,0.1,1345,23,34,88,7
540.0571,760.3514,86,6,28,0.1,1104,1,241,88,9
537.9421,747.4943,86,6,28,0.1,1188,3,19,88,1
649.0659,737.665,86,6,28,0,1641,5,269,88,7
567.6371,734.6929,86,6,28,0.2,1385,3,324,88,5
649.492,732.4665,86,6,28,0,1545,2,204,88,6
697.48,909.8281,86,6,29,0.2,1597,7,263,89,7
750.3929,887.2863,86,6,29,2,1157,3,95,89,2
555.7007,768.3885,86,6,29,0.1,1363,2,237,89,2
647.4315,748.652,86,6,30,0.1,1325,1,178,90,7
741.1765,712.4294,86,6,30,0.1,875,13,240,90,9
695.5201,917.4421,86,7,1,0,854,12,335,91,6
730.3211,911.4978,86,7,2,0.1,1326,1,227,92,2
510.9215,752.3144,86,7,6,0.1,790,4,324,96,9
810.8155,801.2939,86,7,8,0.1,1600,13,38,98,7
756.9267,797.9544,86,7,8,0.1,2360,5,264,98,5
758.5834,797.9544,86,7,8,0.1,2264,10,130,98,4
801.3108,796.8412,86,7,8,0.1,1111,23,98,98,2
801.3136,796.6631,86,7,8,0.1,1154,22,109,98,2
533.1357,778.0397,86,7,8,1,908,13,339,98,7
534.0424,773.6538,86,7,8,1,1120,6,134,98,7
660.6565,766.2847,86,7,8,0.1,1208,9,60,98,6
659.3173,758.4368,86,7,8,1,1834,9,51,98,4
523.4405,730.986,86,7,8,0.1,1450,3,350,98,5
575.0513,730.986,86,7,8,0.1,1643,4,182,98,6
573.2237,729.127,86,7,8,0.2,1589,7,117,98,6
578.811,723.5611,86,7,8,0.5,1241,4,147,98,5
554.0112,713.7318,86,7,8,144,988,1,305,98,8
641.49,706.8636,86,7,8,0.2,1664,7,69,98,2
646.3291,703.5241,86,7,8,0,1524,10,274,98,7
613.2487,692.9489,86,7,8,0.1,2016,5,61,98,8
610.7802,681.2607,86,7,8,0.3,1674,4,51,98,6
610.4302,679.7801,86,7,8,0.2,1806,7,85,98,6
746.7804,859.7354,86,7,9,5,1075,13,281,99,1
654.1129,791.8319,86,7,9,1,1510,4,165,99,6
784.7094,786.8227,86,7,9,0.8,1339,10,266,99,6
782.0123,782.5592,86,7,9,0.1,1214,9,96,99,2
618.7642,744.9006,86,7,9,0.3,1535,3,163,99,5
719.6656,923.008,86,7,10,0.1,1312,1,69,100,2
699.0923,889.0563,86,7,12,1,766,14,353,102,6
741.4987,850.4626,86,7,12,0.1,1462,4,110,102,2
695.9678,912.8002,86,7,13,0.1,975,18,11,103,6
576.1725,744.2773,86,7,14,0.1,1097,4,16,104,7
693.1964,869.932,86,7,15,0.1,1280,1,205,105,7
694.6875,912.2436,86,7,18,0,1172,16,348,108,6
629.3175,816.3217,86,7,18,0.1,1036,2,158,108,7
634.693,814.6965,86,7,18,0.1,977,4,13,108,7
751.0356,814.4738,86,7,19,0.1,1503,0,114,109,1
596.4631,777.5499,86,7,19,2,1623,5,357,109,6
547.2323,716.9489,86,7,19,1,993,5,183,109,8
696.8162,739.0342,86,7,21,58,1418,9,19,111,7
646.0641,813.0824,86,7,22,0.1,1237,3,271,112,2
557.824,779.6427,86,7,22,0.1,967,1,332,112,1
691.0045,743.9322,86,7,22,2,1194,2,323,112,9
640.5481,801.4831,86,7,23,0.1,1527,5,348,113,6
538.7627,669.7616,86,7,23,0.5,1713,1,232,113,7
810.4347,790.5406,86,7,25,6,1471,6,340,115,1
807.7833,806.4924,86,7,26,0.1,834,7,319,116,8
556.241,715.3459,86,7,26,3,988,2,41,116,7
714.4118,784.7856,86,7,27,0.1,1695,8,193,117,6
563.9926,730.986,86,7,27,0.3,1586,5,291,117,6
588.2317,805.3792,86,7,28,2,1401,1,241,118,7
521.9834,786.088,86,7,28,0.1,1372,0,164,118,5
698.7578,824.4924,86,7,29,0.2,1161,16,232,119,6
526.1709,790.3514,86,7,29,0.1,1467,3,116,119,7
723.3119,853.6574,86,7,30,0.8,1324,3,246,120,5
517.9095,731.1641,86,7,30,0.2,1568,5,40,120,5
591.7562,802.407,86,7,31,0.1,1402,2,184,121,7
538.7129,675.3274,86,7,31,1,1707,2,67,121,7
723.0104,873.1825,86,8,1,483,888,16,248,122,8
763.5921,807.7948,86,8,1,0.5,1574,1,265,122,8
765.8319,805.7466,86,8,1,0.1,1707,1,350,122,1
766.401,804.6334,86,8,1,0.1,1768,2,65,122,2
725.2857,797.0304,86,8,1,158,2045,8,49,122,3
769.3057,795.1714,86,8,1,30,1707,3,318,122,1
722.5798,793.1343,86,8,1,28,2450,9,296,122,3
571.8509,728.2031,86,8,1,0.1,1700,4,120,122,6
516.2713,709.6465,86,8,1,8,1414,8,60,122,7
693.4369,853.6574,86,8,2,29,1084,1,211,123,5
810.2811,800.1807,86,8,2,0.1,2005,7,38,123,8
751.2495,783.6724,86,8,2,1,2052,9,162,123,5
731.9185,783.4831,86,8,2,2,2079,8,98,123,5
756.7843,782.9266,86,8,2,0.1,2015,7,111,123,5
751.2871,781.0787,86,8,2,0.2,1458,12,247,123,1
627.9553,777.3607,86,8,2,6411,2065,5,69,123,3
646.787,773.4646,86,8,2,25,2038,19,51,123,4
653.8975,769.4906,86,8,2,0.1,1463,6,15,123,7
613.3784,764.3811,86,8,2,0.1,1631,4,231,123,4
495.1874,753.9173,86,8,2,2995,981,6,309,123,9
622.693,755.0973,86,8,2,2,1477,5,12,123,5
585.8709,753.2494,86,8,2,4,2124,0,264,123,6
602.4584,752.6928,86,8,2,0.1,1900,3,100,123,4
595.0894,752.3144,86,8,2,343,2006,4,348,123,4
698.3159,751.3904,86,8,2,5,1261,6,49,123,9
587.7776,747.6836,86,8,2,0.2,1765,8,271,123,6
587.7776,747.6836,86,8,2,0.2,1765,8,271,123,6
588.6952,747.6836,86,8,2,83,1791,6,267,123,6
663.1261,748.0509,86,8,2,150,1587,5,192,123,5
585.9514,745.8246,86,8,2,5,1406,6,232,123,5
580.6723,744.2773,86,8,2,39,1219,2,3.01,123,7
578.5971,743.9656,86,8,2,30,1096,5,20,123,7
584.1251,743.9656,86,8,2,0.3,1220,3,210,123,7
585.9914,742.1177,86,8,2,5,1160,0,117,123,7
640.9109,741.9285,86,8,2,6720,1462,0,219,123,7
674.4059,740.6372,86,8,2,110,1159,3,17,123,1
574.974,738.3997,86,8,2,0.1,1497,5,298,123,5
661.6051,736.73,86,8,2,0.1,1619,2,252,123,6
551.0502,734.6929,86,8,2,0.2,1768,4,114,123,6
655.3642,735.2494,86,8,2,2,1647,2,132,123,5
519.7406,732.8339,86,8,2,4,1449,3,32,123,7
653.5285,734.3255,86,8,2,4330,1628,3,103,123,5
632.1915,730.986,86,8,2,0.2,1400,1,209,123,5
691.167,731.0194,86,8,2,400,1419,4,28,123,7
691.1675,730.986,86,8,2,1960,1419,4,28,123,7
602.7182,729.127,86,8,2,0.3,1586,1,71,123,6
674.602,729.127,86,8,2,0,1603,3,168,123,5
634.8064,727.6465,86,8,2,305,1404,2,139,123,7
658.8806,727.8135,86,8,2,0.1,1381,0,131,123,7
637.7635,727.268,86,8,2,16,1219,3,120,123,5
678.3118,726.9007,86,8,2,0.2,1405,3,152,123,7
636.8536,725.5983,86,8,2,3,1226,1,94,123,7
680.1764,725.4535,86,8,2,2,1293,9,204,123,7
680.1768,725.4201,86,8,2,2500,1293,9,191,123,7
729.9454,725.4535,86,8,2,20,940,10,39,123,1
649.9599,724.6075,86,8,2,400,1161,0,210,123,1
624.0076,721.1456,86,8,2,0.1,1937,4,102,123,6
676.8743,721.4016,86,8,2,0.1,1392,5,42,123,5
709.7765,719.8877,86,8,2,1,1648,6,190,123,1
634.3493,718.1957,86,8,2,0.1,1334,1,93,123,7
711.5702,717.9953,86,8,2,1,1594,5,107,123,1
603.4637,715.3459,86,8,2,0.1,1341,2,307,123,5
467.3944,711.127,86,8,2,1.5,1848,4,233,123,7
636.6488,713.3868,86,8,2,0.1,1342,0,336,123,7
570.7766,710.8933,86,8,2,0.1,1290,4,342,123,7
636.6668,711.7838,86,8,2,0.1,1401,5,8.01,123,7
573.0113,710.8933,86,8,2,0.1,1282,8,349,123,7
